Spring 2015 Couture, 2015, 1, PARIS, Alexis Mabille, 1, Anastasia Ivanova, Women
Spring 2015 Couture, 2015, 1, PARIS, Alexis Mabille, 2, Larissa Hofmann, Viva
Spring 2015 Couture, 2015, 1, PARIS, Alexis Mabille, 3, Manuela Frey, Elite
Spring 2015 Couture, 2015, 1, PARIS, Alexis Mabille, 4, Emma Oak, OUI
Spring 2015 Couture, 2015, 1, PARIS, Alexis Mabille, 5, Alex Yuryeva, SILENT
Spring 2015 Couture, 2015, 1, PARIS, Alexis Mabille, 6, Chiharu Okunugi, Women
Spring 2015 Couture, 2015, 1, PARIS, Alexis Mabille, 7, Anna Cholewa, Supreme
Spring 2015 Couture, 2015, 1, PARIS, Alexis Mabille, 8, Adrienna Zajdler, (Supreme)
Spring 2015 Couture, 2015, 1, PARIS, Alexis Mabille, 9, Irina Nikolaeva, OUI
Spring 2015 Couture, 2015, 1, PARIS, Alexis Mabille, 10, Luping Wang, OUI
Spring 2015 Couture, 2015, 1, PARIS, Alexis Mabille, 11, Nastya Kusakina, Women
Spring 2015 Couture, 2015, 1, PARIS, Alexis Mabille, 12, Ysaunny Brito, Elite
Spring 2015 Couture, 2015, 1, PARIS, Alexis Mabille, 13, Giedre Kiaulenaite, (Women Paris)
Spring 2015 Couture, 2015, 1, PARIS, Alexis Mabille, 14, Jacque Cantelli, (Next)
Spring 2015 Couture, 2015, 1, PARIS, Alexis Mabille, 15, Wanessa Milhomem, METROPOLITAN
Spring 2015 Couture, 2015, 1, PARIS, Alexis Mabille, 16, Viktor Van Pelt, (Jill Models)
Spring 2015 Couture, 2015, 1, PARIS, Alexis Mabille, 17, Annemijn Dijs, IMG
Spring 2015 Couture, 2015, 1, PARIS, Alexis Mabille, 18, Hadassa Lima Daks, METROPOLITAN
Spring 2015 Couture, 2015, 1, PARIS, Alexis Mabille, 19, Larissa Hofmann, Viva
Spring 2015 Couture, 2015, 1, PARIS, Alexis Mabille, 20, Kia Low, Next
Spring 2015 Couture, 2015, 1, PARIS, Alexis Mabille, 21, Anastasia Ivanova, Women
Spring 2015 Couture, 2015, 1, PARIS, Alexis Mabille, 22, Chiharu Okunugi, Women
